48
984 1696 876 1950 1739 1159 2065 1725 1774 654 801 2293 1653 1232 1363 1753 2229 1511 726 1779 1456 941 225 1118 2111 2080 1785 1393 474 1887 2239 406 519 2257 115 312 1885 869 265 474 1588 1267 486 1349 492 1473 311 2266 
982 1058 750 517 2242 1082 1371 722 1830 220 2147 666 1255 1428 1887 1749 199 1472 147 19 876 1753 841 6 265 1232 1929 695 1963 1171 1144 1497 802 1454 843 1851 906 526 2278 2134 2165 2274 277 1542 1206 1690 1637 86 
973 1041 928 884 490 1735 1252 707 1696 583 95 1808 1831 168 1961 2012 589 302 1982 471 1531 2064 663 878 1120 1364 1891 1403 1980 1495 1383 283 715 1129 879 926 1228 1300 1263 1943 1324 2173 1723 530 2260 868 608 997 
1804 582 1309 31 1546 546 1921 414 283 1624 1954 189 2157 2220 1783 809 1143 2154 723 725 1029 1956 127 4 2019 1431 2034 387 806 812 1071 505 1554 1946 316 854 2219 552 1722 1385 475 1040 550 1166 828 383 939 2180 
1411 1721 1441 1117 1930 1882 1702 398 2297 439 599 1062 656 1379 428 1820 1554 1742 1773 961 2257 1287 597 340 2259 1442 2113 180 1950 1716 789 1328 421 1019 684 1914 1359 1563 1401 1467 1184 2051 1087 960 1926 1390 1385 1361 
962 646 1799 674 113 1954 613 1763 1079 816 330 2034 1543 1198 714 1329 1168 1490 1736 1649 1863 714 524 269 1549 1694 1021 1556 126 2225 251 158 470 614 1115 575 895 222 0 1690 2107 480 1938 781 490 978 1118 1162 
1529 2020 1482 1413 1895 588 1651 777 1909 171 1509 230 2282 1935 502 1285 1280 786 703 1756 2030 927 1592 764 2067 724 879 2247 700 1923 101 1856 1938 467 2181 1531 419 2180 1986 1331 2059 848 1612 2298 831 620 1006 1931 
757 814 1031 1211 2227 200 290 654 2291 306 1845 1766 752 2086 1651 343 1297 69 974 1813 1774 2135 781 15 1027 432 1925 533 1776 429 887 1588 1642 606 1798 34 1730 574 2259 2004 1296 797 1079 1070 764 799 796 1234 
296 2012 1400 1561 317 1448 1639 32 401 2286 1764 2042 370 1206 1572 1795 1810 1350 912 596 14 2020 1885 2130 1693 2233 1481 1377 1873 2256 243 1719 141 62 1623 1099 132 92 742 2027 1001 1584 446 877 2105 490 395 1277 
1697 138 1913 1174 2188 414 981 396 1997 553 319 69 1126 1952 1678 1032 755 2062 1088 493 1206 1879 156 1780 320 921 1895 306 1976 2222 1855 1062 203 1998 1687 42 816 594 1103 1285 982 147 1774 1437 941 241 639 1738 
2062 1519 1543 1349 1480 636 927 1983 712 77 1073 2062 868 101 211 1410 68 1206 2235 1878 1517 1761 2014 1602 236 1562 2090 1070 411 39 348 1536 2195 1159 382 1686 174 431 769 1999 439 367 627 1220 433 884 732 533 
1728 487 2235 2141 184 306 2200 2247 833 994 1350 1722 1187 423 1975 1456 1076 633 2171 293 603 213 727 2218 2112 1573 1406 536 1042 574 1263 2274 1780 3 618 1156 1413 1318 912 792 1034 1551 2198 2055 1339 2261 1317 732 
2215 1897 2002 564 196 978 1589 1746 1175 658 1448 1487 508 1064 670 1774 659 687 2205 2062 1095 420 729 696 124 453 1135 728 1492 1300 1339 905 1438 1274 1622 1545 1757 649 559 2252 1264 1754 2116 940 1507 2197 1662 2109 
1873 2191 295 1855 1779 654 905 45 1226 552 36 1266 997 1225 2187 2235 463 1490 475 2279 1945 1247 1241 2075 1919 1825 2215 627 1594 1002 291 1747 1762 1352 733 603 2173 2248 2226 2041 296 1884 9 792 1248 2135 426 118 
494 1940 1846 1299 2029 1207 327 69 377 1931 1572 2281 1654 2187 1057 1459 506 124 401 423 1752 55 361 1185 1482 389 115 2062 570 1826 43 445 429 1252 314 2000 1228 1269 908 1228 273 1340 1040 1232 1546 2267 1804 483 
77 721 1818 358 1017 1214 1474 2216 740 1223 949 1432 1382 656 2212 1941 193 1894 187 1378 1068 2175 446 309 1914 88 1470 494 1900 1342 1143 101 1424 233 1097 988 2259 1602 1490 1428 2218 1094 1060 635 985 1282 936 1538 
1247 1214 398 1037 1022 1078 752 1540 234 2051 1154 519 782 537 1528 2110 2165 1897 2037 845 1883 1191 1706 2279 337 1830 531 1914 1543 1247 1482 264 953 656 1927 790 1849 513 1333 956 917 1633 689 1757 1892 208 1569 369 
178 758 1263 254 1669 464 1377 1318 1804 1419 2263 601 2147 1160 928 938 5 640 888 1472 1231 1729 930 2019 1965 1175 1438 54 1763 2246 392 516 1018 562 13 1842 837 1186 266 468 1039 665 963 2012 1378 1380 444 1262 
374 1330 2104 1615 2229 605 1867 1787 1895 1991 2206 725 1023 95 1727 2041 2049 707 1826 1070 398 1280 953 119 2190 1140 1323 1224 1400 1237 948 214 193 1610 1944 2055 1246 1207 581 905 2040 1046 516 382 1068 1792 603 1621 
1147 76 259 1588 85 1486 641 1425 1213 65 1892 224 2073 63 282 2151 2200 876 622 45 1344 1715 2210 1809 2195 1192 37 246 1245 13 1265 2076 285 1136 1411 2186 397 1521 632 1447 1232 290 705 233 1464 263 899 1444 
688 572 141 1284 204 1846 119 22 1388 2210 1619 0 2183 233 1043 1361 1177 469 1399 627 2091 2125 2224 1341 2044 572 406 677 713 400 131 659 1470 1631 2250 464 1401 1827 2263 797 1463 1062 1765 1376 669 1785 342 1530 
933 30 1202 308 35 709 575 471 883 947 312 1754 1218 1087 1198 310 1397 631 248 214 569 95 1752 938 424 1369 556 1243 148 1440 846 1561 1524 750 1032 1039 2153 1342 311 2040 363 1708 2043 75 1301 632 2200 402 
2185 41 1772 601 1025 206 141 2113 1395 1632 382 1076 992 579 142 947 826 747 1614 586 1520 411 1965 549 791 1097 562 1725 1846 1438 1236 2219 942 537 1657 669 964 1875 265 2150 1357 2141 2095 47 245 1093 1452 203 
555 696 1879 809 1197 193 437 226 939 1968 1841 499 1434 1813 2296 900 152 1004 1651 1510 887 2259 1634 1436 361 117 402 2192 1862 2059 1339 1383 892 1017 760 2030 915 404 1891 179 1371 3 1868 177 2229 323 1430 1827 
